"","logFC","logCPM","PValue","FDR"
"YGR027C",0.484723743280324,10.3592424030775,3.41278169381859e-68,1.20198983823361e-66
"YNL134C",-1.17263587903987,7.32333695522484,6.45249883655209e-68,2.259138202123e-66
"YBL085W",1.15971038544218,7.72413278561484,1.22741333936964e-66,4.27212042885304e-65
"YER053C",-1.16814205168114,7.31173513733746,2.43635789262319e-66,8.43036821675521e-65
"YLR155C",0.97901164423541,8.04581155707949,3.60581821356113e-66,1.22501420097703e-64
"YLR157C",0.979011634711718,8.04581155707949,3.6140147824099e-66,1.22501420097703e-64
"YLR158C",0.979011626856793,8.04581155707949,3.62078890356115e-66,1.22501420097703e-64
"YLR160C",0.979011624206521,8.04581155707949,3.62307732247728e-66,1.22501420097703e-64
"YNL217W",-1.3655941686158,7.12837316455697,1.54254856629984e-65,5.18594310613419e-64
"YHR026W",0.862187664666309,8.33401791560528,1.51817141822283e-64,5.07515270148274e-63
"YOR227W",1.10974541083382,7.71754162947331,2.10475496038648e-63,6.97009208263079e-62
"YHR094C",0.948766423377731,8.15108014895191,2.1085794875628e-63,6.97009208263079e-62
"YKL141W",1.31640885870419,7.29131795415828,3.99145262498432e-63,1.31207917677957e-61
"YDR111C",1.64844436821111,6.93078516375957,4.81187800770924e-63,1.57303216417765e-61
"YEL034W",-0.445552878128035,10.0202415966943,8.03840948529494e-63,2.61336642442254e-61
"YBR230C",1.12224823905613,7.74935267855025,1.03539798709006e-61,3.34778682492454e-60
"YGR282C",0.518700851618778,10.2985235141268,1.78424801996446e-61,5.73771496420094e-60
"YGL035C",1.09443415051765,8.0299590703982,8.06751033462782e-61,2.58029506216177e-59
"YDR216W",1.63645491903421,6.94996772861046,1.78343081836643e-60,5.67341943670655e-59
"YHL020C",1.1281858085858,7.61066329306553,2.23891161496026e-60,7.08429947899457e-59
"YAL053W",0.710083135642023,9.07014499082135,7.94013961136536e-60,2.49903223832175e-58
"YLR109W",0.320579949291889,11.7639504559475,7.37747612678382e-58,2.30965747313121e-56
"YMR116C",-0.281800344122375,11.3969837833813,2.06678318863427e-57,6.43639796165735e-56
"YLR249W",-0.252398980350351,11.5979825504351,8.09127952843542e-57,2.50660214501321e-55
"YER150W",-1.57486029804783,6.7118590385195,3.10701486796861e-56,9.57510779883868e-55
"YDR074W",-0.559064447260239,9.28251567074534,3.67938758810907e-55,1.12802779061354e-53
"YKL117W",0.501911611658029,9.55211230278257,1.70434408273006e-53,5.1982494523267e-52
"YLR438W",-1.94906095407405,6.10850318992137,2.38436210431939e-53,7.23501054936299e-52
"YDR277C",-1.21296718313654,7.03763341013982,5.92160737278634e-53,1.78766075636616e-51
"YGR244C",0.734270506760089,8.47475941857668,9.99734531740052e-53,3.00275595142431e-51
"YDL137W",0.71376774964641,8.65972044921083,1.79330662139154e-52,5.35908852463322e-51
"YER138C",-2.61669963909547,9.68219681075838,2.31028531208328e-52,6.86932572442047e-51
"YMR251W-A",-0.798556247569676,8.27311290953495,2.62660425652767e-52,7.77080869293712e-51
"YHR143W",-0.691502659666521,8.69606639545,1.22928871373616e-51,3.61875687521237e-50
"YLR264W",-1.4293218185159,6.86352608342902,1.27823590443983e-51,3.74421873592597e-50
"YDR011W",-0.913250647973971,7.67600244490281,1.82979281472742e-51,5.33344043583356e-50
"YBR298C",1.02711592719909,7.60284506866998,5.62135723412661e-51,1.63046915462388e-49
"YJL077C",2.16366068995578,5.8420393866221,2.60725222372656e-50,7.52542019892197e-49
"YLR192C",0.692941992158275,8.56511796468003,3.55836841777394e-50,1.02208087028973e-48
"YPL232W",0.918935262837615,8.20933509964444,5.0238323463678e-50,1.43603941997383e-48
"YDR343C",-1.60389287736223,8.90337013130483,5.11571041274594e-50,1.45527204385662e-48
"YGR159C",-0.690244616923451,8.82102860949342,5.59683553754692e-50,1.58452037682608e-48
"YBR218C",-0.657936571894479,8.73847264737837,1.50815588193819e-49,4.24940873972776e-48
"YKL109W",-1.20402748410768,7.05674139631907,2.28570087514146e-49,6.40971188540855e-48
"YDR233C",0.673629312113666,8.62482948594561,4.08758781277022e-49,1.14086118340384e-47
"YNL327W",-0.778427054930651,8.16860141177925,9.24180409498172e-48,2.56731243333365e-46
"YDL055C",-0.331142478112855,10.4969167492473,1.27459512691223e-47,3.52419596539237e-46
"YLR256W",-0.691212006634787,8.99478552040074,1.85227034874943e-47,5.09762030397692e-46
"YPL134C",1.58941409756353,6.52152433369134,2.01935452446407e-47,5.53172255613607e-46
"YBR031W",-0.405725252773182,11.3357255883618,4.49381823834073e-47,1.22534205144065e-45
"YOR382W",-0.485881380570155,9.38258691548216,6.80761773215378e-47,1.84773734500706e-45
"YOR127W",1.15266796355135,7.15340387425929,2.42216542017869e-46,6.54427068091201e-45
"YML001W",1.09448321762562,7.27824207792488,2.66773736443833e-46,7.17500090244617e-45
"YOR261C",0.906115954328431,7.82357458417832,3.10533431273236e-46,8.31414621196261e-45
"YNR050C",-0.931127096601468,7.40860207254163,4.26976247657927e-46,1.13802633215854e-44
"YLR250W",1.08329943692229,7.32718894098826,5.65380572927117e-46,1.5001600224259e-44
"YLR079W",1.3176948488842,7.07128405243937,9.55529261185106e-46,2.52404760644298e-44
"YJR010W",1.60315445928051,6.69510794562058,1.73178778884942e-45,4.55421704294312e-44
"YER073W",-0.820046044970973,8.71836744069418,2.00164888947313e-45,5.24060021195245e-44
"YKR058W",-0.966802583867578,7.27842219725585,2.62443686489639e-45,6.84087794255152e-44
"YGL030W",-0.273468227322668,11.0062664179948,2.74812751271584e-45,7.13187302313142e-44
"YGR138C",-1.75367519021577,6.32698439439703,3.1880420257398e-45,8.23739941759931e-44
"YDR309C",1.46169975402741,6.76602985884197,4.33357364893428e-45,1.11485892524974e-43
"YNL079C",0.561188123410157,9.01814517766929,7.00141310928757e-45,1.79339226699803e-43
"YER133W",0.918260018589801,7.79801157759386,8.77899284560423e-45,2.23902158049311e-43
"YPR008W",1.02158370936513,7.5878547440295,1.08851736452613e-44,2.76427349609491e-43
"YKL029C",-1.00557474919656,7.44062541234455,1.09810177527112e-44,2.77669581379455e-43
"YDR086C",1.09167593377227,7.39864839743702,7.61801661573678e-44,1.91811933256658e-42
"YHR054C",4.34315144146861,4.70556114854627,1.09776783969952e-43,2.75232724894155e-42
"YNL300W",-1.51082631713714,6.19248229154453,2.08844601806359e-43,5.21406543834694e-42
"YDR335W",0.817829993962991,7.89774474765546,5.05337320835741e-43,1.25633652411138e-41
"YCL064C",-0.677083470881232,8.22004976066532,6.8193108998236e-43,1.68827876963415e-41
"YKL032C",0.762065051338591,8.2722796844213,1.40168994849833e-42,3.45574976052693e-41
"YPR080W",-0.266611028318853,13.269048578636,1.50721978447099e-42,3.70050600195637e-41
"YLR314C",0.737513766835652,8.18153296077579,1.89536200367807e-42,4.63423841973684e-41
"YDR054C",0.815030767186709,7.8761319637537,2.66392521132245e-42,6.4866030762942e-41
"YLR056W",-0.649036417867167,8.5140372442707,3.42860947841625e-42,8.31437798515942e-41
"YGL123W",-0.275734222619079,11.429801717249,5.9013832592388e-42,1.42524427530269e-40
"YBR070C",2.01499806443522,5.73373209200052,7.91204609276342e-42,1.90307222483257e-40
"YJL078C",-0.678749099948932,8.17586306627564,1.20486116760355e-41,2.88630102376931e-40
"YOL143C",-0.664706844548709,8.29990451115867,1.75712931013829e-41,4.19231214842268e-40
"YML100W",-0.502308551331707,9.62220776986507,3.04886076659233e-41,7.24502375740032e-40
"YMR031C",0.650093930431253,8.54634217364593,3.78458861907022e-41,8.95736434361539e-40
"YOL039W",0.465731905335227,9.57369307763236,4.5648074622544e-41,1.07609425315376e-39
"YBR054W",-1.86242874948587,5.33497919767958,5.01758754191031e-41,1.17813751926521e-39
"YDL173W",0.853987751934694,7.79578073149424,7.15966096638133e-41,1.67445509636673e-39
"YIR037W",0.937697670991186,7.48837883536546,8.03264461754783e-41,1.87122670086734e-39
"YOL105C",1.31952495598447,6.87052508506846,1.01792983693557e-40,2.36199640986188e-39
"YKL163W",-2.11430367564344,5.04155172221143,1.03586810735195e-40,2.39423109031308e-39
"YOR348C",2.43431357455651,5.3292768789353,1.0426556195651e-40,2.40054214045396e-39
"YDR210C-C",8.90917688085506,5.07501846885457,2.51891946538367e-40,5.77691723902138e-39
"YMR280C",1.49394936529502,6.43689720802777,3.38267849569247e-40,7.72791840116306e-39
"YDL007W",0.600531877894601,8.63974771342519,5.1251727675019e-40,1.16637104866572e-38
"YGL028C",-1.28890068137083,6.26788524052647,7.41889137157255e-40,1.681899626268e-38
"YJR016C",-0.479383987890928,9.59720308282217,1.12072638213381e-39,2.53104503934571e-38
"YLR150W",-0.275154996932173,10.904112596585,1.49833986416432e-39,3.37097983888223e-38
"YGL080W",1.49826536129119,6.35244672840973,1.84243521476554e-39,4.12942771430595e-38
"YDR365W-A",8.85951371976877,4.94764129181747,1.93277336041587e-39,4.26724625879877e-38
"YER137C-A",8.85951371976877,4.94764129181747,1.93277336041587e-39,4.26724625879877e-38
"YLR157C-A",8.85951371976877,4.94764129181747,1.93277336041587e-39,4.26724625879877e-38
"YPL257W-A",8.85951371976877,4.94764129181747,1.93277336041587e-39,4.26724625879877e-38
"YDR134C",-0.465704079102572,9.3424689216885,3.04240142893868e-39,6.68900150843549e-38
"YEL002C",0.799410382441789,7.83519746592304,3.05227379969171e-39,6.68900150843549e-38
"YPR148C",0.868526542841889,7.68190702418041,3.06950651064788e-39,6.70194465811937e-38
"YER004W",0.805017037726462,7.92166897042629,4.09227425629143e-39,8.90220102002809e-38
"YLL023C",0.910410059615434,7.51701257906823,4.32235046503857e-39,9.36825923136749e-38
"YPL015C",1.12519053187989,7.08132262864637,4.78024338024505e-39,1.0322883241208e-37
"YGR243W",1.31890614494375,6.8041221152788,5.14723391860598e-39,1.10749756714151e-37
"YOR142W",0.707200181328989,8.1417196761906,6.08881269339884e-39,1.30534437343627e-37
"YGR155W",-0.519278916685934,8.83321237111251,7.64884004835606e-39,1.63386955112357e-37
"YER063W",1.13393872418985,7.119714438366,8.39041943528015e-39,1.78583135966017e-37
"YOR298C-A",-0.597659129150044,8.41366407164424,9.91108643769108e-39,2.10193184415119e-37
"YOR197W",-0.688394005401327,7.98769135895142,1.30378730711623e-38,2.75518196293099e-37
"YOR063W",-0.184587890368599,12.0733744860356,1.63090583476399e-38,3.43418854957243e-37
"YMR272C",-0.906858468300711,7.21600449117988,1.65640335653765e-38,3.47551016334514e-37
"YOL030W",0.602764257970907,8.53919660276131,2.36762889941628e-38,4.95026862114705e-37
"YER042W",1.60096364952401,6.17110981769046,3.57229554600558e-38,7.44270167102642e-37
"YCR002C",1.06425258510434,7.11404742648801,6.04753491109262e-38,1.25555312522579e-36
"YGR055W",-0.824845863020735,7.63342594595339,6.61023307201519e-38,1.36757863940958e-36
"YER190C-B",1.30270250441506,7.69407410400455,1.77495653664418e-37,3.65937903391067e-36
"YPR028W",0.642139054783853,8.3709155139355,1.82235252338245e-37,3.74404856974095e-36
"YDR089W",-1.72574937257123,5.76212069062064,2.93322707363095e-37,6.00550331995651e-36
"YDR502C",-0.681270268910687,7.99752068156372,4.64027011633843e-37,9.46775113047396e-36
"YBL050W",0.957908725441257,7.29598921148163,5.49231355923572e-37,1.11677042371126e-35
"YOR215C",1.14828596523539,6.88507288299326,8.14566805602733e-37,1.65061362628472e-35
"YHR142W",0.995265091202685,7.18332803686807,8.43450820491264e-37,1.70331006991359e-35
"YNL268W",0.721629707240653,8.06690317449892,9.34348103401807e-37,1.88045500946547e-35
"YLR259C",-0.42416787347354,9.34269364539277,1.12958538680076e-36,2.2656802487119e-35
"YKL100C",0.757640912786634,7.85719166281738,1.16660997687687e-36,2.33203757877717e-35
"YOR356W",1.13491210344526,7.27194417903835,1.28823176236128e-36,2.56648731915545e-35
"YNR034W-A",-1.68470583496569,5.41272606187763,1.38776623161957e-36,2.75550764848758e-35
"YNL284C-A",4.99374522638454,4.92018486248134,1.63820690174808e-36,3.24189640054963e-35
"YER001W",-1.64679602735185,5.90597911716798,3.90661682691307e-36,7.70515058828155e-35
"YLR417W",1.36605224898227,6.53831098323859,4.78462281952594e-36,9.40551934323422e-35
"YER136W",0.634016918495834,8.30944385417896,5.02953358506817e-36,9.85422192809548e-35
"YER124C",-1.43943572673679,6.06549775066439,5.7502920188915e-36,1.12292006190696e-34
"YLR325C",0.433957526960928,9.3678253276613,6.17739357279845e-36,1.20235650560028e-34
"YDR525W-A",1.939127035546,5.59993842318703,1.02359566181167e-35,1.98577558391465e-34
"YGR130C",0.604996998893299,8.79050893785336,1.54950992308471e-35,2.99622556042231e-34
"YPR159W",0.585682466946346,8.50409114974747,4.0039437279676e-35,7.71704724377338e-34
"YBR056W-A",-1.93014952391246,5.13341725958948,5.10587667111153e-35,9.80891956589835e-34
"YGL036W",0.87777544540049,7.43317448863024,5.43897674474258e-35,1.0415024400855e-33
"YMR195W",-1.14584145012038,6.57734778650005,8.82744679605719e-35,1.68490331265388e-33
"YAR010C",3.89179594421581,5.89294790984353,9.26359456621046e-35,1.75681695667523e-33
"YPR137C-A",3.89179594421581,5.89294790984353,9.26359456621046e-35,1.75681695667523e-33
"YBR230W-A",1.54089252884491,6.24851132816238,9.43045673646565e-35,1.78274800350375e-33
"YGR037C",0.759618561527416,8.06536390684201,1.26146611795267e-34,2.37710032481718e-33
"YGR032W",-0.728449354096024,7.85464383810669,1.95109222102e-34,3.66495640373821e-33
"YJR029W",-2.76923653145097,9.0899808997126,2.73606641303067e-34,5.12319777401978e-33
"YMR191W",1.49801217294186,6.45395803218574,3.20612719829335e-34,5.98443363795009e-33
"YDL072C",0.624971777184406,8.31948055585702,3.39912963241527e-34,6.32473271540916e-33
"YNL219C",1.07264021156295,6.94524988890185,3.41077174621723e-34,6.32650044588319e-33
